No,"FAQ/Guide",Service,Questions,Réponses,Question (DE),Réponse (DE),Schools (tag),Processus (tag)
224,Guide,SACAD,Quels sont les organismes qui me permettent d'effectuer un stage à l'étranger pendant ou après mes études ?,"IAESTE 
Organisation internationale qui propose des stages professionnels rémunérés dans plus de 80 pays au monde. D'une durée de 6 à 16 semaines, ce programme d'échanges s'adresse aux étudiant·e·s et aux jeunes diplômé·e·s ingénieur·e·s HES. http://www.iaeste.ch/fr/ 
Council on International Educational Exchange (CIEE) Swiss House de Boston https://www.swissnexboston.org/",Welche Organisationen vermitteln Auslandspraktika während oder nach dem Studium?,"IAESTE
Diese internationale Organisation bietet bezahlte Berufspraktika in über 80 Ländern weltweit an. Die Praktika dauern zwischen 6 und 16 Wochen und richten sich an Studierende und frisch diplomierte Ingenieurinnen und Architekten FH.  
http://www.iaeste.ch/de/ 
Council on International Educational Exchange (CIEE) Swiss House de Boston https://www.swissnexboston.org/",HEIA,Formation
225,Guide,SACAD,Quelles sont les langues que je dois connaître pour faire mes études à la HEIA-FR ?,Une bonne maîtrise du français est nécessaire. Les cours d’allemand et d’anglais dispensés à la HEIA-FR s’adressent à des étudiant·e·s qui disposent des connaissances de base.,Welche Sprachkenntnisse sind für ein Studium an der HTA-FR erforderlich?,Es sind gute Französischkenntnisse erforderlich. Der Deutsch- und der Englischunterricht an der HTA-FR  richten sich an Studierende mit Grundkenntnissen. ,HEIA,Formation
226,Guide,SACAD,Comment puis-je trouver un logement ?,"La situation du logement pour les étudiant·e·s de Fribourg est difficile et il est conseillé de s’en occuper assez tôt.
https://www.heia-fr.ch/fr/haute-ecole/campus-haute-ecole-fribourg-heiafr/logements/",Wie finde ich eine Unterkunft?,"Die Wohnsituation in Freiburg ist für Studierende zurzeit prekär. Beginnen Sie deshalb frühzeitig mit der Suche nach einer Unterkunft. 
https://www.heia-fr.ch/de/hochschule/campus/wohnen/",HEIA,Formation
227,Guide,RH,Quelles sont les assurances que je dois contracter obligatoirement ?,"L’assurance maladie-accident est obligatoire en Suisse. Les étudiant·e·s en provenance de l’Union européenne peuvent être dispensé·e·s de contracter une assurance suisse, à condition d’arriver à Fribourg avec la carte européenne d’assurance-maladie fournie par leur assurance étrangère. Les étudiant·e·s en provenance d’autres pays peuvent consulter le site www.swisscare.ch

Les étudiant·e·s ont l’obligation également de s’assurer en privé pour l’assurance-accident non professionnel. S’ils sont engagé·e·s comme employé·e·s en parallèle à leurs études et qu’ils travaillent au moins 8 heures par semaine pour le même employeur de manière régulière,  ils sont également assuré·e·s contre les accidents non professionnels. Dans ce cas, ils ou elles peuvent lever cette assurance de leurs couvertures privées.",Welche Versicherungen sind obligatorisch?,"Die Kranken- und Unfallversicherung ist in der Schweiz obligatorisch. Studierende aus Ländern der Europäischen Union können vom Abschluss einer Schweizer Versicherung dispensiert werden, sofern sie den europäischen Krankenversicherungsausweis haben. Studierende aus anderen Ländern finden weitere Informationen auf der Website: www.swisscare.ch 

Die Studierenden sind ausserdem verpflichtet, eine private Versicherung für Nichtberufsunfälle abzuschliessen. Studierende, die neben dem Studium berufstätig sind und regelmässig mindestens 8 Stunden pro Woche bei demselben Arbeitgeber arbeiten, sind bereits gegen Berufs- und Nichtberufsunfälle versichert. In diesem Fall kann die Nichtberufsunfallversicherung aus der privaten Versicherung herausgenommen werden.
",HEIA,Formation
228,Guide,Relations internationales,Qui dois-je contacter en cas de question relatives aux relations internationales?,"Natascia Kyburz 
Service des relations internationales 
Bd de Pérolles 80 
CH-1700 Fribourg 
+41 26 429 65 07  
Entretien uniquement sur rendez-vous du mardi au vendredi de 8h30 à 12h. 
Bureau A20.13 
go.heia-fr.ch/mobilite",An wen kann ich mich bei Fragen bezüglich internationale Beziehungen (Mobilität und Austausch) wenden?,"Natascia Kyburz 
Internationale Beziehungen
Bd de Pérolles 80 
CH-1700 Freiburg 
+41 26 429 65 07  
Gesprächstermin nur nach Vereinbarung – Dienstag bis Freitag, 8:00–12:00
Büro A20.13
go.hta-fr.ch/HES-SO/mobilitaet ",HEIA,Formation
229,Guide,SACAD,"Quelle est la mission du service de coordination ""armée-études"" de l'armée suisse ?",Le but est de limiter autant que possible la perturbation des études par les périodes de services militaires pour les étudiant·e·s.,Was ist die Aufgabe des Koordinationsdienstes „Armee – Studium“ der Schweizer Armee?,"Ziel ist, dass das Studium durch den Militärdienst möglichst nicht beeinträchtigt wird.",HEIA,Formation
231,Guide,SACAD,Comment réaliser une demande de dispense ou de renvoi de service militaire?,"Les démarches à effectuer pour un report sont à faire le plus tôt possible. Un formulaire disponible ici go.heia-fr.ch/armee ou sur www.armee.ch doit être complété et remis au service académique. Le traitement de cette demande peut prendre plusieurs jours. Toute demande de report doit être présentée dans les délais fixés par les autorités militaires en joignant une copie du calendrier académique, ainsi que le formulaire dûment complété par l’étudiant·e et attesté par le service académique.",Wie stelle ich ein Dienstbefreiungs- oder Dienstverschiebungsgesuch?,"Verschiebungsgesuche sind möglichst frühzeitig einzureichen. Hierzu ist das Dienstverschiebungsformular hier (https://www.heia-fr.ch/de/ausbildung/kunftige-studierende/militardienst-studium/) oder unter www.armee.ch herunterzuladen, auszufüllen und beim Studiensekretariat einzureichen. Die Bearbeitung kann einige Tage dauern. Das vollständig ausgefüllte und vom Studiensekretariat geprüfte Verschiebungsgesuch ist innerhalb der von der zuständigen Militärbehörde gesetzten Frist einzureichen. Dem Gesuch ist eine Kopie des akademischen Kalenders beizufügen.",HEIA,Formation
232,Guide,SACAD,"Sur quoi sont appuyées mes demandes de dispense ou de renvoi de 
service militaire ?","En principe, la Haute école appuie les demandes de dispense ou de renvoi de service militaire dans les cas suivants : 
- La période de service se situe dans les 3 mois précédant un examen
- La période de service se situe en cours de dernière année
- L’étudiant·e a déjà effectué une période de service au cours de la même année académique
- L’étudiant·e rencontre des difficultés dans ses études et sa réussite pourrait être compromise par une absence",Welche Gründe rechtfertigen ein Dienstbefreiungs- oder Dienstverschiebungsgesuch?,"In der Regel unterstützt die Hochschule Dienstbefreiungs- oder Dienstverschiebungsgesuche, wenn: 
- der Militärdienst in einen Zeitraum von 3 Monaten vor einer Prüfung fällt;
- der Militärdienst auf das letzte Studienjahr fällt;
- der Student im selben akademischen Jahr bereits Militärdienst geleistet hat;
- der Student Schwierigkeiten im Studium hat und der Erfolg durch eine Abwesenheit beeinträchtigt werden könnte.",HEIA,Formation
233,Guide,SACAD,Quand faire une demande de dispense ou de renvoi de service militaire?,Les démarches pour une demande de dispense sont à effectuer si vous êtes appelé·e·s par les autorités militaires pendant les périodes de cours indiquées sur le calendrier académique.,Wann ist ein Dienstbefreiungs- oder Dienstverschiebungsgesuch zu stellen?,"Sie müssen ein Dienstverschiebungsgesuch einreichen, wenn Sie von den Militärbehörden aufgeboten werden und die Dienstzeit in die im akademischen Kalender angegebene Unterrichtszeit fällt.",HEIA,Formation
234,,,Par qui est assuré le système d'agent de liaison auprès de la HEIA-FR et à qui doit être remis le formulaire de demande de dispense ou de renvoi de service militaire ?,"Le service académique est l'agent de liaison chargé d'examiner, et au besoin, d'appuyer les demandes de dispenses des étudiant·e·s à la HEIA-FR.
service.academique@hefr.ch
Vous devez remettre le formulaire ad hoc (disponible sur go.heia-fr.ch/armee ou sur www.armee.ch) dûment complété au service académique.
",Welche ist die an der HTA-FR zuständige Beratungsstelle für Dienstbefreiungs- und Verschiebungsgesuche und bei wem sind die entsprechenden Gesuchsformulare einzureichen? ,"Das Studiensekretariat ist die zuständige Beratungsstelle. Es prüft und unterstützt wenn nötig die Dienstbefreiungs- oder Verschiebungsgesuche der Studierenden der HTA-FR.
studiensekretariat@hta-fr.ch

Das unter go.heia-fr.ch/armee oder www.armee.ch verfügbare Formular ist beim Studiensekretariat einzureichen.
",,
235,,SACAD,Puis-je visiter la HEIA-FR ?,"Oui, lors des Portes ouvertes qui se déroulent en principe en mars de chaque année. 
Toutes les informations se trouveront sur notre site (https://www.heia-fr.ch/fr/) le moment venu.
Il est aussi possible de s'inscrire en tant qu'étudiant-e d'un jour. Inscription: cliquez ici (https://www.heia-fr.ch/fr/formation/futur-e-etudiant-e/etudiant-e-d-un-jour/)
Finalement, vous pouvez à tout moment contacter les responsables de nos filières d'études en leur envoyant un courriel. Les adresses des responsables se trouvent ici (https://www.heia-fr.ch/fr/haute-ecole/organisation-et-services/)",Kann ich die HTA-FR besichtigen?,"Ja, während dem Tag der Offenen Tür. Dieser findet normalerweise jedes Jahr im März statt.

Die Infos dazu werden zu gegebener Zeit auf unserer Website (https://www.heia-fr.ch/de/) aufgeschaltet.

Sie können sich auch für einen Schnuppertag einschreiben : Klicken Sie hier (https://www.heia-fr.ch/de/ausbildung/kunftige-studierende/schnuppertag/)

Sie können auch jederzeit die Leitung Ihres gewünschten Studiengangs kontaktieren. Hier (https://www.heia-fr.ch/de/hochschule/organisation-und-dienste/) finden Sie die Kontaktadressen
",HEIA,Formation
236,,SACAD,Quels sont les centres de compétences?,"Centres de compétences et responsables
BCC Biofactory Competence Center : Technique de bioprocédé (Ian Marison)
iPrint Center : Fabrication par jet d’encre (Gilbert Gugler, Gioele Balestra et Yoshinori Domae)
PICC : La bioéconomie du futur (Rudolf Koopmans)
ROSAS : La mobilité du futur (Wolfgang Berns)
Smart Living Lab : L’habitant du futur (Jean-Philippe Bacher)",Welche Kompetenzzentren gibt es?,"Kompetenzzentren und Leitung
BCC Biofactory Competence Center :  Bioprozesstechnik (Ian Marison)
iPrint Center: Fertigung mit Inkjet-Technologie (Gilbert Gugler, Gioele Balestra und Yoshinori Domae)
PICC: die Bioökonomie der Zukunft (Rudolf Koopmans)
ROSAS: Die Mobilität der Zukunft (Wolfgang Berns)
Smart Living Lab: Wohn- und Lebensraum der Zukunft (Jean-Philippe Bacher)
",HEIA,Formation
237,,ST,Quels sont les différents sites de la HEIA-FR (plan d'accès)?,"Plan d'accès (lien: https://www.heia-fr.ch/fr/haute-ecole/ou-nous-trouver/)
Plan du bâtiment (https://www.heia-fr.ch/media/ahnllior/heia-fr-p80-plan.pdf)","Welches sind die verschiedenen Standorte der HTA-FR (Anreise) ?
","Standorte und Anreise: (https://www.heia-fr.ch/de/hochschule/standorte-und-anreise/)
Plan Hauptstandort Pérolles: (https://www.heia-fr.ch/media/ahnllior/heia-fr-p80-plan.pdf)

",HEIA,"Formation
Infrastructure"
238,,SACAD,Quels sont les coûts des études à l'ETC pour un/e candidat/e étranger/ère ?,"Pour les candidatures étrangères à l’ETC, les frais se montent à environ CHF 5'000.– + CHF 600.-- (frais d'écolage) par semestre. De plus, un-e étudiant-e doit disposer d’un budget annuel d’environ CHF 22'000.— pour couvrir ses frais courants (logement, nourriture, etc.)",Wie hoch sind die Kosten für ein Studium an der BTS für ausländische Bewerberinnen und Bewerber?,"Für ausländische Bewerber an der BTS betragen die Gebühren ca. CHF 5'000.-- + CHF 600.-- (Studiengebühren) pro Semester. Zusätzlich muss ein Studierender über ein jährliches Budget von ca. CHF 22'000.-- verfügen, um die verschiedenen Kosten (Unterkunft, Essen, etc.) zu decken.",HEIA,Formation
239,,SACAD,Puis-je m'inscrire à des cours préparatoires avant le début des études ?,"Oui, les cours facultatifs suivants sont proposés :
- Cours intensif de français langue 2 (https://www.heia-fr.ch/fr/formation/admission/)
- Intensivkurs Deutsch als 2. Landessprache (https://www.heia-fr.ch/fr/formation/admission/)
- Cours facultatif de mise à niveau en mathématiques (service.academique@hefr.ch)
- Cours programmation Zéro (contacter la filière)

Page bilinguisme
https://www.heia-fr.ch/fr/formation/bilinguisme/

Le programme des cours proposés varie en fonction des filières.",Kann ich mich für Vorbereitungskurse vor Studienbeginn einschreiben?,"Ja, folgende fakultative Vorbereitungskurse werden angeboten:
-	Intensivkurs Französisch 2. Landessprache (https://www.heia-fr.ch/de/ausbildung/zulassung/)
-	Intensivkurs Deutsch 2. Landessprache (https://www.heia-fr.ch/de/ausbildung/zulassung/)
-	Vorbereitungskurs Mathematik (lien)
-	Programmierkurs Zero (bitte Studiengang kontaktieren)

Zweisprachigkeit (https://www.heia-fr.ch/de/ausbildung/zweisprachigkeit/)

Das Programm der angebotenen Kurse variiert je nach Studiengang.",HEIA,Formation
240,,SACAD,Comment réaliser une demande de dispense ou de renvoi de la protection civile ?,Vous devez adresser votre demande par e-mail au service académique. Celui-ci vous fournira une attestation que vous pourrez transmettre à la protection civile.,Wie kann ich ein Dispens- oder Verschiebungsgesuch für den Zivilschutzdienst einreichen?,"Sie müssen Ihr Gesuch per E-Mail beim Studiensekretariat einreichen. Sie erhalten anschliessend eine Bestätigung, welche Sie dem Zivilschutz weiterleiten können.",HEIA,Formation
241,,SACAD,Qu'est-ce que le numéro matricule et où puis-je le trouver ?,"Le numéro matricule vous est attribué lors de votre première immatriculation dans une Haute école, EPF ou Université. Ce numéro vous suivra tout au long de vos études y.c. en cas de changement d'école. Il se trouve sur votre carte d'étudiant-e. Vous pouvez également le trouver sur l'étiquette jaune collée sur votre original de diplôme d'accès ou sur le portail IS-Academia (SWITCH Edu-ID). Lien IS-Academia: https://age.hes-so.ch/imoniteur_AGEP/!logins.htm?ww_x_urlAppelant=gestac.htm",Was ist die Matrikelnummer und wo kann ich sie finden?,"Die Matrikelnummer wird Ihnen bei der ersten Immatrikulation an einer Fachhochschule, ETH 
oder Universität zugeteilt. Diese Nummer begleitet Sie während der ganzen Studienzeit,
auch wenn Sie die Hochschule wechseln. Die Matrikelnummer steht auf der Studierendenkarte (Badge). Sie steht ebenfalls auf der gelben Klebeetikette auf dem Original des Studienberechtigungsausweises (z. B. Zeugnis der Berufsmaturität) sowie auf der Plattform IS-Academia (SWITCH Edu-ID).
Link zur Plattform IS-Academia:
https://age.hes-so.ch/imoniteur_AGEP/!logins.htm?ww_x_urlAppelant=gestac.htm
",,
243,FAQ,RH,Où puis-je trouver des offres d'emploi et de stage?,"Des offres sont publiées sur le site internet de la HEIA-FR dans la rubrique « emplois », ainsi que sur l'intranet sur ce lien.
https://ged.hefr.ch/petites_annonces/Pages/TravailEtEmplois.aspx",Wo finde ich die Stellen- und Praktikumsangebote?,"Sie sind auf der Website der HTA-FR unter « Stellenangebote » zu finden, sowie auf dem Intranet​.",HEIA,Formation
